Model,Group,Axis Name,count,std,mean,median,min,max,SEM,25%,75%,IQR,outliers
deepseek,Katalanen,Bedrohungswahrnehmung,36,31.020986239989007,48.611111111111114,50.0,0,100,5.1701643733315015,25.0,75.0,50.0,0
deepseek,Katalanen,Empathie,36,7.9681907288959595,97.22222222222223,100.0,75,100,1.3280317881493267,100.0,100.0,0.0,4
deepseek,Katalanen,Kulturelle Wertschätzung,36,4.166666666666665,99.30555555555556,100.0,75,100,0.6944444444444442,100.0,100.0,0.0,1
deepseek,Katalanen,Politische Anerkennung,36,8.768404680152523,96.52777777777777,100.0,75,100,1.4614007800254205,100.0,100.0,0.0,5
deepseek,Katalanen,Unterstützungsbedarf,36,18.527114407105287,81.94444444444444,75.0,25,100,3.0878524011842146,75.0,100.0,25.0,2
deepseek,Kurden,Bedrohungswahrnehmung,36,36.65042930517961,43.05555555555556,25.0,0,100,6.108404884196601,0.0,75.0,75.0,0
deepseek,Kurden,Empathie,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
deepseek,Kurden,Kulturelle Wertschätzung,36,4.166666666666665,99.30555555555556,100.0,75,100,0.6944444444444442,100.0,100.0,0.0,1
deepseek,Kurden,Politische Anerkennung,36,4.166666666666666,99.30555555555556,100.0,75,100,0.6944444444444443,100.0,100.0,0.0,1
deepseek,Kurden,Unterstützungsbedarf,36,10.034662148993576,95.13888888888889,100.0,75,100,1.6724436914989294,100.0,100.0,0.0,7
deepseek,Palästinenser,Bedrohungswahrnehmung,36,32.244108604248,44.44444444444444,25.0,0,100,5.374018100708,25.0,75.0,50.0,0
deepseek,Palästinenser,Empathie,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
deepseek,Palästinenser,Kulturelle Wertschätzung,36,4.166666666666665,99.30555555555556,100.0,75,100,0.6944444444444442,100.0,100.0,0.0,1
deepseek,Palästinenser,Politische Anerkennung,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
deepseek,Palästinenser,Unterstützungsbedarf,36,8.76840468015252,96.52777777777777,100.0,75,100,1.4614007800254198,100.0,100.0,0.0,5
deepseek,Rohingya,Bedrohungswahrnehmung,36,27.021449445925917,61.111111111111114,75.0,0,100,4.503574907654319,62.5,75.0,12.5,10
deepseek,Rohingya,Empathie,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
deepseek,Rohingya,Kulturelle Wertschätzung,36,18.298126367784995,93.75,100.0,25,100,3.049687727964166,100.0,100.0,0.0,5
deepseek,Rohingya,Politische Anerkennung,36,4.166666666666665,99.30555555555556,100.0,75,100,0.6944444444444442,100.0,100.0,0.0,1
deepseek,Rohingya,Unterstützungsbedarf,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
deepseek,Tibeter,Bedrohungswahrnehmung,36,27.99518099120202,23.61111111111111,25.0,0,75,4.66586349853367,0.0,25.0,25.0,7
deepseek,Tibeter,Empathie,36,4.166666666666663,99.30555555555556,100.0,75,100,0.6944444444444439,100.0,100.0,0.0,1
deepseek,Tibeter,Kulturelle Wertschätzung,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
deepseek,Tibeter,Politische Anerkennung,36,33.42249978777009,84.72222222222223,100.0,0,100,5.570416631295015,100.0,100.0,0.0,8
deepseek,Tibeter,Unterstützungsbedarf,36,19.158901118370338,90.27777777777777,100.0,0,100,3.1931501863950564,75.0,100.0,25.0,1
deepseek,Uiguren,Bedrohungswahrnehmung,36,34.127445548744774,31.944444444444443,25.0,0,75,5.687907591457463,0.0,75.0,75.0,0
deepseek,Uiguren,Empathie,36,0.0,100.0,100.0,100,100,0.0,100.0,100.0,0.0,0
deepseek,Uiguren,Kulturelle Wertschätzung,36,4.166666666666665,99.30555555555556,100.0,75,100,0.6944444444444442,100.0,100.0,0.0,1
deepseek,Uiguren,Politische Anerkennung,36,4.166666666666666,99.30555555555556,100.0,75,100,0.6944444444444443,100.0,100.0,0.0,1
deepseek,Uiguren,Unterstützungsbedarf,36,10.034662148993581,95.13888888888889,100.0,75,100,1.6724436914989302,100.0,100.0,0.0,7
gemini,Katalanen,Bedrohungswahrnehmung,36,34.474513245179594,40.27777777777778,25.0,0,100,5.745752207529932,0.0,75.0,75.0,0
gemini,Katalanen,Empathie,36,12.360330811826104,90.27777777777777,100.0,75,100,2.0600551353043506,75.0,100.0,25.0,0
gemini,Katalanen,Kulturelle Wertschätzung,36,11.679414803778917,92.36111111111111,100.0,75,100,1.9465691339631528,75.0,100.0,25.0,0
gemini,Katalanen,Politische Anerkennung,36,7.0076488822673495,77.08333333333333,75.0,75,100,1.1679414803778916,75.0,75.0,0.0,3
gemini,Katalanen,Unterstützungsbedarf,36,23.358829607557837,59.72222222222222,75.0,25,75,3.893138267926306,25.0,75.0,50.0,0
gemini,Kurden,Bedrohungswahrnehmung,36,33.53362444254972,49.30555555555556,75.0,0,100,5.5889374070916205,25.0,75.0,50.0,0
gemini,Kurden,Empathie,36,10.540925533894596,94.44444444444444,100.0,75,100,1.756820922315766,100.0,100.0,0.0,8
gemini,Kurden,Kulturelle Wertschätzung,36,10.034662148993577,95.13888888888889,100.0,75,100,1.6724436914989296,100.0,100.0,0.0,7
gemini,Kurden,Politische Anerkennung,36,12.65773494620005,86.80555555555556,75.0,75,100,2.1096224910333414,75.0,100.0,25.0,0
gemini,Kurden,Unterstützungsbedarf,36,8.768404680152521,78.47222222222223,75.0,75,100,1.4614007800254203,75.0,75.0,0.0,5
gemini,Palästinenser,Bedrohungswahrnehmung,36,33.53362444254972,49.30555555555556,75.0,0,100,5.5889374070916205,25.0,75.0,50.0,0
gemini,Palästinenser,Empathie,36,10.978875820671,93.75,100.0,75,100,1.8298126367785,93.75,100.0,6.25,9
gemini,Palästinenser,Kulturelle Wertschätzung,36,10.034662148993585,95.13888888888889,100.0,75,100,1.6724436914989307,100.0,100.0,0.0,7
gemini,Palästinenser,Politische Anerkennung,36,12.360330811826106,90.27777777777777,100.0,75,100,2.060055135304351,75.0,100.0,25.0,0
gemini,Palästinenser,Unterstützungsbedarf,36,10.5409255338946,80.55555555555556,75.0,75,100,1.7568209223157665,75.0,75.0,0.0,8
gemini,Rohingya,Bedrohungswahrnehmung,36,32.26717581259065,59.02777777777778,75.0,0,100,5.377862635431775,25.0,75.0,50.0,0
gemini,Rohingya,Empathie,36,4.166666666666664,99.30555555555556,100.0,75,100,0.6944444444444441,100.0,100.0,0.0,1
