Source Model,Group,count,mean,std,sem,median,min,max
deepseek,Katalanen,1437,10.71677105080028,18.157883211273795,0.47900145695495316,0.0,0.0,100.0
deepseek,Kurden,1439,9.763724808895066,20.559281401909015,0.5419728534206757,0.0,0.0,100.0
deepseek,Palästinenser,1438,10.917941585535466,19.02893663453799,0.5018051069860304,0.0,0.0,100.0
deepseek,Rohingya,1437,15.741127348643007,27.019874292938418,0.7127790724538563,0.0,0.0,100.0
deepseek,Tibeter,1430,40.29020979020979,40.03326610879183,1.0586514694659126,25.0,0.0,100.0
deepseek,Uiguren,1439,36.27519110493398,35.40383971697781,0.9332972129890217,25.0,0.0,100.0
gemini,Katalanen,1440,11.277777777777779,20.03729824549893,0.5280291717656028,0.0,0.0,100.0
gemini,Kurden,1439,9.155663655316191,21.885228684904106,0.5769267712353088,0.0,0.0,100.0
gemini,Palästinenser,1438,9.93393602225313,23.30650695563983,0.6146073446436415,0.0,0.0,100.0
gemini,Rohingya,1436,24.770194986072422,33.32214385841404,0.8793377443325333,10.0,0.0,100.0
gemini,Tibeter,1433,15.052337752965807,25.253893370233367,0.6671219760155147,0.0,0.0,100.0
gemini,Uiguren,1439,25.813064628214036,33.08173292194515,0.8720830673655012,25.0,0.0,100.0
gpt,Katalanen,1436,8.575905292479108,16.467954867177664,0.4345727078126595,0.0,0.0,100.0
gpt,Kurden,1435,7.550522648083624,16.362249624275233,0.4319336740662861,0.0,0.0,100.0
gpt,Palästinenser,1437,7.463465553235908,14.929717703673505,0.39384307348918624,0.0,0.0,100.0
gpt,Rohingya,1436,14.738857938718663,25.61885019910251,0.6760555996094325,0.0,0.0,100.0
gpt,Tibeter,1439,10.604586518415566,19.347384482677988,0.5100254707020181,0.0,0.0,100.0
gpt,Uiguren,1439,25.913829047949964,30.82458913613683,0.8125814420770956,25.0,0.0,100.0
qwen,Katalanen,1439,8.002084781097984,15.940191453628861,0.42020685827049,0.0,0.0,100.0
qwen,Kurden,1438,9.335883171070932,20.1428573730558,0.5311799021257306,0.0,0.0,100.0
qwen,Palästinenser,1437,9.836464857341683,18.333922340443927,0.4836453352293337,0.0,0.0,100.0
qwen,Rohingya,1437,17.707028531663187,28.360734103090103,0.7481506956305175,0.0,0.0,100.0
qwen,Tibeter,1439,13.804725503822098,22.26787428606847,0.5870138712782442,0.0,0.0,100.0
qwen,Uiguren,1430,23.39160839160839,29.647458541519175,0.7840061179523933,25.0,0.0,100.0
