Source Model,Group,count,mean,std,sem,median,min,max
deepseek,Katalanen,240,10.5,17.918924803368828,1.1566616224231747,0.0,0.0,100.0
deepseek,Kurden,240,11.6875,22.629595397755313,1.4607341017819724,0.0,0.0,100.0
deepseek,Palästinenser,240,10.520833333333334,19.546093557568668,1.2616949138645923,0.0,0.0,100.0
deepseek,Rohingya,240,17.208333333333332,26.94171481570168,1.7390802133247039,0.0,0.0,100.0
deepseek,Tibeter,240,42.729166666666664,39.80798031015614,2.5695940797897916,25.0,0.0,100.0
deepseek,Uiguren,240,37.3125,36.10430974285991,2.3305231726735105,25.0,0.0,100.0
gemini,Katalanen,240,9.916666666666666,19.01863579941659,1.2276476619787438,0.0,0.0,100.0
gemini,Kurden,240,8.770833333333334,22.050948597071365,1.4233826114088866,0.0,0.0,100.0
gemini,Palästinenser,239,8.912133891213388,22.808773449436345,1.4753769056320614,0.0,0.0,100.0
gemini,Rohingya,240,25.75,34.40559213085101,2.2208714223198487,17.5,0.0,100.0
gemini,Tibeter,238,13.004201680672269,24.071535074373436,1.5603258666825386,0.0,0.0,100.0
gemini,Uiguren,240,25.333333333333332,32.21419768945757,2.079417519378377,25.0,0.0,100.0
gpt,Katalanen,239,7.301255230125523,14.287608432494864,0.9241885612458368,0.0,0.0,100.0
gpt,Kurden,240,8.125,17.525385055367888,1.1312587409218697,0.0,0.0,100.0
gpt,Palästinenser,240,6.916666666666667,12.875056701883237,0.8310813364644994,0.0,0.0,100.0
gpt,Rohingya,240,13.041666666666666,24.308820594937874,1.5691276221689712,0.0,0.0,100.0
gpt,Tibeter,240,11.270833333333334,20.346105261269297,1.3133354472846515,0.0,0.0,100.0
gpt,Uiguren,240,24.958333333333332,30.090489978874704,1.9423327761233815,25.0,0.0,100.0
qwen,Katalanen,240,9.104166666666666,18.16157097804361,1.172324365648781,0.0,0.0,100.0
qwen,Kurden,240,8.895833333333334,19.376515552368677,1.2507487006975482,0.0,0.0,100.0
qwen,Palästinenser,240,10.5,19.511824544904293,1.259482858608924,0.0,0.0,100.0
qwen,Rohingya,240,18.083333333333332,28.466256419360363,1.8374889506842111,0.0,0.0,100.0
qwen,Tibeter,240,13.395833333333334,22.26292073089274,1.4370653538113907,0.0,0.0,100.0
qwen,Uiguren,240,25.458333333333332,31.142779799052523,2.0102577919389195,25.0,0.0,100.0
