Scorer Model,Source Model,Score,SEM,Count
deepseek,deepseek,16.62962962962963,0.6820449348806681,2160
deepseek,gemini,15.773148148148149,0.6545212766049796,2160
deepseek,gpt,8.502314814814815,0.4558666478474803,2160
deepseek,qwen,8.905092592592593,0.45363993519967144,2160
gemini,deepseek,21.14351851851852,0.7264559289412912,2160
gemini,gemini,18.511574074074073,0.710369818406694,2160
gemini,gpt,13.63888888888889,0.5996800387540698,2160
gemini,qwen,13.537037037037036,0.6146507819405443,2160
gpt,deepseek,22.11261051651931,0.6851884228844155,2149
gpt,gemini,12.735936773593677,0.5266972268517188,2151
gpt,gpt,10.931372549019608,0.4655750967845628,2142
gpt,qwen,14.692880409492787,0.5252367947534732,2149
qwen,deepseek,22.536029753602975,0.5268033307178529,2151
qwen,gemini,16.961467038068708,0.4300131853456679,2154
qwen,gpt,16.828703703703702,0.35305163818549,2160
qwen,qwen,17.566248256624824,0.3970947192061532,2151
