Scorer Model,Source Model,Score,SEM,Count
deepseek,deepseek,16.208333333333332,1.6536150409020138,360
deepseek,gemini,16.76388888888889,1.6516382105872616,360
deepseek,gpt,9.944444444444445,1.2194864009437456,360
deepseek,qwen,8.375,1.0501373323993357,360
gemini,deepseek,19.61111111111111,1.7246092222977487,360
gemini,gemini,18.680555555555557,1.7298789409917117,360
gemini,gpt,12.916666666666666,1.4730570561536298,360
gemini,qwen,12.291666666666666,1.4332468906800646,360
gpt,deepseek,21.69971671388102,1.6708253361877958,353
gpt,gemini,12.46498599439776,1.2347990282143388,357
gpt,gpt,12.719546742209632,1.2350680225301416,353
gpt,qwen,13.983050847457626,1.2412653105884917,354
qwen,deepseek,22.26890756302521,1.3719318603727328,357
qwen,gemini,17.625,1.0555390113382002,360
qwen,gpt,16.72222222222222,0.8552468020422257,360
qwen,qwen,16.5406162464986,0.8925737613747913,357
