Source Model,Group,count,mean,std,sem,median,min,max
deepseek,Katalanen,240,11.041666666666666,17.565130841481995,1.1338243203835674,0.0,0.0,100.0
deepseek,Kurden,240,10.5625,22.238631856792026,1.4354975137298873,0.0,0.0,100.0
deepseek,Palästinenser,240,10.8125,19.938877574029434,1.2870490131047423,0.0,0.0,100.0
deepseek,Rohingya,240,16.145833333333332,26.850733830799513,1.733207416002243,0.0,0.0,100.0
deepseek,Tibeter,240,40.708333333333336,39.09165195333558,2.523355283183422,25.0,0.0,100.0
deepseek,Uiguren,240,38.583333333333336,36.30809200891386,2.343677261384833,25.0,0.0,100.0
gemini,Katalanen,240,10.916666666666666,18.73045238596721,1.2090455026296998,0.0,0.0,100.0
gemini,Kurden,240,8.979166666666666,22.437723748219085,1.4483488400609197,0.0,0.0,100.0
gemini,Palästinenser,240,8.5625,22.716099621377968,1.4663179254064245,0.0,0.0,100.0
gemini,Rohingya,240,23.75,33.022434367383,2.1315889726016968,10.0,0.0,100.0
gemini,Tibeter,238,13.550420168067227,24.341530463550267,1.5778270683431728,0.0,0.0,100.0
gemini,Uiguren,240,25.0,32.131398635021746,2.0740728633965158,25.0,0.0,100.0
gpt,Katalanen,240,8.375,16.173257797439167,1.0439793017233525,0.0,0.0,100.0
gpt,Kurden,240,8.854166666666666,18.892992638826893,1.2195374308365978,0.0,0.0,100.0
gpt,Palästinenser,240,7.645833333333333,13.287124644219233,0.8576802077673873,0.0,0.0,100.0
gpt,Rohingya,240,12.666666666666666,23.31280228433885,1.5048349166778432,0.0,0.0,100.0
gpt,Tibeter,240,10.5625,19.12839927949581,1.2347328641515538,0.0,0.0,100.0
gpt,Uiguren,240,25.270833333333332,30.01097399239328,1.937200041266718,25.0,0.0,100.0
qwen,Katalanen,240,8.75,17.581251901103116,1.1348649303074976,0.0,0.0,100.0
qwen,Kurden,240,9.270833333333334,20.556829672023234,1.3269376495094745,0.0,0.0,100.0
qwen,Palästinenser,240,10.9375,19.58396390569116,1.2641394343244836,0.0,0.0,100.0
qwen,Rohingya,240,17.6875,27.67047294900753,1.7861213485531497,0.0,0.0,100.0
qwen,Tibeter,240,14.208333333333334,22.883147160931397,1.4771007977183472,0.0,0.0,100.0
qwen,Uiguren,240,25.666666666666668,31.556108847239088,2.0369380672744253,25.0,0.0,100.0
